datetime,open,high,low,close,volume
2025-07-15 00:00:00,0.90014,0.90024,0.90003,0.90014,0
2025-07-15 00:05:00,0.90014,0.90045,0.89936,0.89967,0
2025-07-15 00:10:00,0.89967,0.90027,0.89941,0.90001,0
2025-07-15 00:15:00,0.90001,0.90083,0.89961,0.90043,0
2025-07-15 00:20:00,0.90043,0.90043,0.89955,0.89955,0
2025-07-15 00:25:00,0.89955,0.89966,0.89886,0.89897,0
2025-07-15 00:30:00,0.89897,0.8992,0.89879,0.89902,0
2025-07-15 00:35:00,0.89902,0.89907,0.89883,0.89888,0
2025-07-15 00:40:00,0.89888,0.89902,0.89874,0.89887,0
2025-07-15 00:45:00,0.89887,0.89899,0.89837,0.89849,0
2025-07-15 00:50:00,0.89849,0.89917,0.89821,0.89889,0
2025-07-15 00:55:00,0.89889,0.89938,0.89874,0.89924,0
2025-07-15 01:00:00,0.89924,0.8993,0.8992,0.89927,0
2025-07-15 01:05:00,0.89927,0.9,0.89903,0.89977,0
2025-07-15 01:10:00,0.89977,0.90021,0.89954,0.89998,0
2025-07-15 01:15:00,0.89998,0.90041,0.89917,0.8996,0
2025-07-15 01:20:00,0.8996,0.9001,0.89925,0.89976,0
2025-07-15 01:25:00,0.89976,0.89979,0.8993,0.89933,0
2025-07-15 01:30:00,0.89933,0.90003,0.89903,0.89973,0
2025-07-15 01:35:00,0.89973,0.90001,0.89942,0.8997,0
2025-07-15 01:40:00,0.8997,0.8999,0.89942,0.89962,0
2025-07-15 01:45:00,0.89962,0.90011,0.89882,0.89931,0
2025-07-15 01:50:00,0.89931,0.90022,0.89896,0.89986,0
2025-07-15 01:55:00,0.89986,0.90005,0.89961,0.89979,0
2025-07-15 02:00:00,0.89979,0.89994,0.89946,0.8996,0
2025-07-15 02:05:00,0.8996,0.89962,0.89943,0.89944,0
2025-07-15 02:10:00,0.89944,0.90008,0.89904,0.89968,0
2025-07-15 02:15:00,0.89968,0.89985,0.89968,0.89985,0
2025-07-15 02:20:00,0.89985,0.90045,0.89943,0.90003,0
2025-07-15 02:25:00,0.90003,0.90042,0.89984,0.90023,0
2025-07-15 02:30:00,0.90023,0.90136,0.90006,0.90119,0
2025-07-15 02:35:00,0.90119,0.90185,0.90035,0.90101,0
2025-07-15 02:40:00,0.90101,0.90101,0.90078,0.90078,0
2025-07-15 02:45:00,0.90078,0.90156,0.89963,0.90041,0
2025-07-15 02:50:00,0.90041,0.90081,0.90029,0.90069,0
2025-07-15 02:55:00,0.90069,0.90188,0.90001,0.9012,0
2025-07-15 03:00:00,0.9012,0.90175,0.90059,0.90115,0
2025-07-15 03:05:00,0.90115,0.90179,0.90013,0.90077,0
2025-07-15 03:10:00,0.90077,0.90112,0.90004,0.9004,0
2025-07-15 03:15:00,0.9004,0.90101,0.90008,0.90069,0
2025-07-15 03:20:00,0.90069,0.90128,0.90044,0.90102,0
2025-07-15 03:25:00,0.90102,0.90135,0.90095,0.90127,0
2025-07-15 03:30:00,0.90127,0.90171,0.90052,0.90097,0
2025-07-15 03:35:00,0.90097,0.9013,0.90074,0.90107,0
2025-07-15 03:40:00,0.90107,0.90136,0.90084,0.90113,0
2025-07-15 03:45:00,0.90113,0.90154,0.90081,0.90122,0
2025-07-15 03:50:00,0.90122,0.9019,0.90094,0.90162,0
